Threshold,Accuracy,Precision,Recall,F1_Score,False_Positive_Rate,False_Negative_Rate,Predicted_Higher_Risk_Rate
0.01,0.2998418636942184,0.23785123272712,0.9987654320987654,0.3842057057566403,0.8957891099373056,0.0012345679012345679,0.9183090986230571
0.02,0.3459713811856366,0.24994461429394302,0.9948853615520282,0.39951839654378696,0.8356617465567459,0.0051146384479717815,0.8704825085817873
0.03,0.3954950437767578,0.2642914369197417,0.9890652557319224,0.4171222432965153,0.7706471836895887,0.010934744268077601,0.8184132371658889
0.04,0.4506884714776102,0.2823702650553468,0.9807760141093474,0.4384955054407822,0.6976847509502888,0.019223985890652558,0.7595942453812627
0.05,0.502873452385544,0.30186089916012515,0.9698412698412698,0.46041780047724706,0.6278323542479143,0.03015873015873016,0.702626605469202
0.060000000000000005,0.5523199753153084,0.32339817954667144,0.9587301587301588,0.48365140798078204,0.5614355531421237,0.04126984126984127,0.6483202838739538
0.06999999999999999,0.5944768002468469,0.34420429692525406,0.9437389770723104,0.5044306184012066,0.5032828158167547,0.05626102292768959,0.5996065877270799
0.08,0.6320052454969722,0.36582322357019065,0.9306878306878307,0.5252052749440159,0.45159697882213556,0.06931216931216931,0.556369807536545
0.09,0.6662166853087514,0.3887065493062808,0.919047619047619,0.5463409519815475,0.4045515130572148,0.08095238095238096,0.5170671500752112
0.09999999999999999,0.6966482817140432,0.4119817146523378,0.9059964726631393,0.5664038811400849,0.3619489559164733,0.09400352733686067,0.4809272187295098
0.11,0.7179773980792225,0.4301276595744681,0.891358024691358,0.5802525832376578,0.3305524016389396,0.10864197530864197,0.45319551047170903
0.12,0.7374937324025147,0.4487364620938628,0.8768959435626102,0.5936716417910448,0.3015253986276349,0.12310405643738977,0.427353723917152
0.13,0.7544258880703514,0.46677471636953,0.8634920634920635,0.6059780927037565,0.27610208816705334,0.1365079365079365,0.404558953986192
0.14,0.7695452616963011,0.4847148441415255,0.852910052910053,0.6181376621716623,0.25378881374339735,0.14708994708994708,0.384811200678829
0.15000000000000002,0.7820033170054383,0.5009485666104553,0.8382716049382716,0.6271275893917403,0.23374635928321075,0.1617283950617284,0.36595055347707023
0.16,0.79311142824083,0.516887417218543,0.825925925925926,0.6358452138492872,0.2160734560892531,0.17407407407407408,0.3494426659466965
0.17,0.8040652601535079,0.5340567998152852,0.8158730158730159,0.6455484231091264,0.19923976896875153,0.18412698412698414,0.33409187333667606
0.18000000000000002,0.8155204998650056,0.553764092617287,0.8056437389770723,0.6563689920252892,0.1817149627289332,0.1943562610229277,0.318162533266479
0.19,0.8241215721062984,0.5701643489254109,0.7954144620811288,0.6642120765832106,0.16784321469121785,0.20458553791887124,0.3050873606664867
0.2,0.8307941528136692,0.5841532205168569,0.7853615520282187,0.6699766794553524,0.15648911487387077,0.2146384479717813,0.29401781926177345
0.21000000000000002,0.8377752921664674,0.600109409190372,0.7738977072310406,0.6760129409952241,0.14434516463444735,0.22610229276895943,0.28202260192077755
0.22,0.8431750684614494,0.6139852188743604,0.7619047619047619,0.6799937037620022,0.1340771091474552,0.23809523809523808,0.2713773286535272
0.23,0.8478805878042195,0.6268744486915613,0.7520282186948853,0.6837716484926235,0.12529002320185614,0.24797178130511463,0.26235198827477146
0.24000000000000002,0.8528946657924171,0.6416793893129771,0.7412698412698413,0.6878887070376432,0.11586118378832008,0.25873015873015875,0.25263239094380374
0.25,0.8573687661511166,0.656111462951235,0.7308641975308642,0.6914733856165527,0.10722219479686035,0.2691358024691358,0.24360705056504803
0.26,0.8614185983723531,0.6710027992754817,0.718694885361552,0.6940304862471259,0.09863257145678037,0.281305114638448,0.2342345817101863
0.27,0.8653912909322328,0.6863885088919288,0.707936507936508,0.6969960062510853,0.0905366046304981,0.2920634920634921,0.22555636980753654
0.28,0.8687854360319358,0.701779359430605,0.6955908289241622,0.6986713906111603,0.08273683171249445,0.30440917107583776,0.21676244841285147
0.29000000000000004,0.8726038492691017,0.7181566820276498,0.6871252204585538,0.7022983325822443,0.07548008095966827,0.3128747795414462,0.209241331430555
0.3,0.8749566089404868,0.7305355108241549,0.6784832451499118,0.7035479151426481,0.07004985930789356,0.3215167548500882,0.20310872835268254
0.31,0.8763451228449107,0.7424242424242424,0.6654320987654321,0.7018229166666666,0.06461963765611888,0.3345679012345679,0.19601187950784896
0.32,0.878890731669688,0.7563842723956222,0.6582010582010582,0.7038853262919653,0.05933751295848349,0.3417989417989418,0.19030354456743934
0.33,0.8815134801558221,0.7719849246231156,0.6502645502645502,0.7059161401493395,0.053759194352569484,0.34973544973544973,0.1842095113202453
0.34,0.8818991784626066,0.7804301075268817,0.6400352733686067,0.7032945736434109,0.05040233005874512,0.3599647266313933,0.17934971265476143
0.35000000000000003,0.883249122536352,0.7916574707570073,0.6326278659611992,0.703264385844525,0.04660117490250284,0.3673721340388007,0.1747599028040267
0.36000000000000004,0.8844833571180623,0.8022598870056498,0.6261022927689595,0.703318474492323,0.04319494495729871,0.37389770723104054,0.1706715007521117
0.37,0.8858333011918078,0.8151162790697675,0.6181657848324515,0.7031093279839519,0.03924569284691712,0.3818342151675485,0.16585027191730628
0.38,0.8869518262814826,0.8247569362105762,0.6134038800705467,0.7035501163143522,0.036481216369649995,0.38659611992945325,0.16264897597099548
0.39,0.8875689435723377,0.8326491185703936,0.6081128747795415,0.7028845173784528,0.03421039640618058,0.39188712522045854,0.1597176688394338
0.4,0.8881860608631928,0.8413402315841341,0.6022927689594356,0.7020248740877788,0.031791479488571854,0.3977072310405644,0.15655494272380144
