Model,CV_Accuracy_Mean,CV_Accuracy_Std,CV_Precision_Mean,CV_Recall_Mean,CV_F1_Mean,CV_ROC_AUC_Mean,CV_PR_AUC_Mean,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,Test_PR_AUC,Supports_Proba
Dummy (Prior),0.781309058101312,2.066033704952987e-05,0.0,0.0,0.0,0.5,0.21869094189868798,0.781240357914224,0.0,0.0,0.0,0.5,0.218759642085776,predict_proba
Logistic Regression (Default),0.836926663693997,0.0015360229201824376,0.7345741614519937,0.3985890652557319,0.516622739188902,0.8042010617935815,0.6275777218608237,0.8378586855908671,0.7355584082156611,0.40409026798307474,0.5216203914428766,0.8046245017234963,0.6220070021133011,predict_proba
Logistic Regression (Balanced),0.7383418676720687,0.005644269949316994,0.4387491331183978,0.7024691358024691,0.5400908288833348,0.8054003280295559,0.6210529421992328,0.7405121875964209,0.44154118689105404,0.7031029619181947,0.5424374319912949,0.8074278292858463,0.6174254993610901,predict_proba
Decision Tree (Default),0.8767308765792927,0.002869313779418558,0.9186688355883659,0.47936507936507944,0.6295508165825818,0.844999096246623,0.7343821925539308,0.8792039493983338,0.9205298013245033,0.4901269393511989,0.6396686608375518,0.8528714680579417,0.7480775208217224,predict_proba
Decision Tree (Balanced),0.8302923567307724,0.009618701460054361,0.598775775166837,0.6851851851851851,0.638684565156447,0.8506051654972987,0.741273487531207,0.8211971613699476,0.5754222481071637,0.6967559943582511,0.6303030303030303,0.8573237872579362,0.7516492624512434,predict_proba
Random Forest (Default),0.882786226994196,0.002137944635819213,0.9298882365598468,0.5021164021164022,0.6520051350952474,0.8689523092338597,0.776588898841226,0.8827522369639,0.9283854166666666,0.502820874471086,0.6523330283623056,0.8811199718358188,0.7903465083557101,predict_proba
Random Forest (Balanced),0.8701737003526666,0.0031728942873496266,0.7501561693485207,0.6098765432098765,0.6726514876537454,0.8673817907122864,0.772178385955705,0.8728787411292811,0.7475,0.6325811001410437,0.6852559205500381,0.8795362936918026,0.7827352538423797,predict_proba
XGBoost (Default),0.89061591161725,0.003393539834997202,0.876195337517693,0.582363315696649,0.6995495601713555,0.8989045065721623,0.8128466291741706,0.8949398333847578,0.8795056642636457,0.6022566995768688,0.7149434910004185,0.9094299594248626,0.8313510917625679,predict_proba
XGBoost (Weighted),0.8601070830486798,0.00544979080301083,0.6668079234566521,0.7209876543209877,0.6927686357582479,0.8961472851053778,0.8100287587984294,0.8603825979635915,0.6586270871985158,0.7510578279266573,0.7018121911037891,0.906999573303743,0.8255143239774404,predict_proba
