Method,Brier_Score,Log_Loss,ROC_AUC,PR_AUC
Uncalibrated,0.1073257980915615,0.34708152253962077,0.9012310858312833,0.809108827228874
Sigmoid (Platt),0.08574971908919872,0.2887521215447434,0.9049860630150199,0.8127806092796248
Isotonic,0.08490192730986414,0.27993058924187253,0.9047366597547578,0.8125699649270762
