Model,CV_Accuracy,CV_Accuracy_Std,CV_Precision,CV_Recall,CV_F1,CV_ROC_AUC,CV_PR_AUC
XGBoost Default-style,0.8899603003561625,0.0024277209546962964,0.9120412989531959,0.5499118165784832,0.6861098452368576,0.897704264544319,0.8104150482954913
XGBoost Weighted,0.8515445374219814,0.004163359053630768,0.6401855038137627,0.7347442680776014,0.6840581170323194,0.8986166961329852,0.8109048526592246
Random Forest Default,0.8852933329515226,0.0025238793298322914,0.8958434670834745,0.5382716049382716,0.6723484407656181,0.8826356967989284,0.7917931081234931
Random Forest Balanced,0.8714080152744147,0.0027687910858289018,0.7393587166134502,0.6366843033509701,0.6841230627733541,0.8806382312617067,0.7898196013271355
