Model,CV_Accuracy_Mean,CV_ROC_AUC_Mean,CV_PR_AUC_Mean,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,Test_PR_AUC
Full Feature: Logistic Regression (Balanced),0.8120874054135067,0.8702234534713265,0.7192767528907307,0.8057698241283554,0.5386109762020398,0.7820874471086037,0.637906241012367,0.8715557924852438,0.708220441849066
Full Feature: Random Forest (Default),0.9299956451257204,0.9258933411734661,0.8763784239133727,0.9342795433508176,0.9787644787644788,0.7150916784203103,0.8264058679706602,0.929926002179159,0.8839003720777937
Full Feature: XGBoost (Default),0.9329269998858285,0.9450980174777144,0.8990608850305299,0.9385991977784635,0.9561717352415027,0.7538787023977433,0.8430599369085173,0.9514155341947472,0.9105370334623257
Full Feature: XGBoost (Weighted),0.9176916934956921,0.9446914657831952,0.8993253817852193,0.9227090404196235,0.8258706467661692,0.8194640338504936,0.8226548672566372,0.9532342852113539,0.9137916132218674
